Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
Da Art of Storytellin' (Pt. 1),-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
SpottieOttieDopaliscious,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8566634199428086,False
goosebumps,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8585140467815036,False
FE!N (feat. Playboi Carti),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.6884529228069819,False
HIGHEST IN THE ROOM,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
Open Arms (feat. Travis Scott),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
SICKO MODE,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
BUTTERFLY EFFECT,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Trance (with Travis Scott & Young Thug),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.9390697873279855,False
90210 (feat. Kacy Hill),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.9544995120425347,False
Type Shit,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
MY EYES,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.9919395911361814,False
Can I Kick It?,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.837741214169568,False
Electric Relaxation,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Check the Rhime,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
The Hop,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8578131746827968,False
Jazz (We've Got),-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Award Tour (feat. Trugoy The Dove),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Find a Way,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8911778549525149,False
Buggin' Out,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8955795502693867,False
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8848840582148189,False
Excursions,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8756274453129899,False
Hypnotize - 2014 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Big Poppa - 2005 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Juicy - 2005 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8324408159266925,False
Notorious Thugs - 2014 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,True
Party And Bullshit,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
One More Chance / Stay with Me - Remix; 2007 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,True
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.6886619290714752,False
Who Shot Ya? - 2005 Remaster,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7768512675031279,False
Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,True
Going Live - Tupac Remix,1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.8293830181006303,False
WAIT FOR U (feat. Drake & Tems),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Too Many Nights (feat. Don Toliver & with Future),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.837897257820382,False
Solo,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Low Life (feat. The Weeknd),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7699469015017901,False
Mask Off,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.855937147382692,False
Life Is Good (feat. Drake),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Superhero (Heroes & Villains) [with Future & Chris Brown],1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Private Landing (feat. Justin Bieber & Future),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.9795584915329411,False
Jealous Type,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
Lose My Mind (feat. Doja Cat) [From F1® The Movie],1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.801561891827046,False
Kiss Me More (feat. SZA),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,1.0,False
Streets,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8422440913546241,False
Woman,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Paint The Town Red,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Agora Hills,-1,-1_remaster_bang_va_2007,"['remaster', 'bang', 'va', '2007', 'of', '2014', 'money', 'the', '2005', 'love']","['Notorious Thugs - 2014 Remaster', 'One More Chance / Stay with Me - Remix; 2007 Remaster', 'Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster']",remaster - bang - va - 2007 - of - 2014 - money - the - 2005 - love,0.0,False
Born Again (feat. Doja Cat & RAYE),1,1_feat_with_the_brown,"['feat', 'with', 'the', 'brown', 'future', 'travis', 'sza', 'scott', 'cole', 'life']","['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'All My Life (feat. J. Cole)', 'The London (feat. J. Cole & Travis Scott)']",feat - with - the - brown - future - travis - sza - scott - cole - life,0.7415306920928783,False
So High,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,1.0,False
Candy,0,0_in_out_so_like,"['in', 'out', 'so', 'like', 'work', 'it', 'fresh', 'type', 'the', 'all']","['Work Out', 'So Fresh, So Clean', 'Let It All Work Out']",in - out - so - like - work - it - fresh - type - the - all,0.8502274844606769,False
